text,sentiment,stress_level
I feel crushed because everything I try goes wrong and see no way out,negative,high
Life feels energetic when I aced my presentation,positive,low
My family member motivated me and I feel thrilled,positive,low
College was ordinary today just another college day,neutral,low
My hard work paid off and I feel motivated,positive,low
I feel unsure and tired because of upcoming exams,negative,high
I woke up feeling cheerful and I got selected for the college fest,positive,low
Today I submitted an assignment and called it a day,neutral,low
I love my project it makes me feel joyful,positive,low
College is making me feel irritated because I failed to meet my own expectations,negative,medium
I feel isolated due to unbearable academic pressure I need help,negative,high
I feel depressed because the stress has become too much I need help,negative,high
I feel homesick thinking about my viva examination,negative,high
The day was alright nothing special to mention,neutral,low
I am unsure and finding it hard to sleep properly,negative,medium
I successfully passed my exam and I am thrilled,positive,low
Everything feels positive today I passed my difficult exam,positive,low
I attended the lecture and it was average,neutral,low
Today was fine no highs or lows,neutral,low
The bullying in college is unbearable I feel depressed,negative,high
I am neither excited nor sad just feeling okay,neutral,low
I watched an educational video and the day passed normally,neutral,low
I have been having panic attacks regularly and feel isolated,negative,high
I helped my classmate understand the topic and it made me feel fantastic,positive,low
I went to college and attended the lab session,neutral,medium
I feel nervous due to career uncertainty,negative,medium
I feel nervous and drained due to lack of sleep,negative,medium
I feel worried today because I am behind on syllabus,negative,high
The day was calm things were uneventful,neutral,low
Life feels happy when I passed my difficult exam,positive,low
Feeling wonderful after morning exercise,positive,low
I feel completely shattered because nobody understands me,negative,high
Life feels motivated when I had a productive study session,positive,low
Today I got selected for the internship which made my day,positive,low
I feel stressed thinking about my CGPA dropping,negative,high
I have been isolating myself completely and feel destroyed inside,negative,high
College was okay today completed tasks without issues,neutral,low
Life feels blessed when I got selected for the college fest,positive,low
I feel terrified and have been unable to get out of bed,negative,high
I am so devastated I cannot even breathe properly properly,negative,high
College is making me feel unsure because I am behind on syllabus,negative,high
I am really thrilled because I aced my presentation,positive,low
I cracked a mock interview and it made me feel proud,positive,low
College is making me feel stressed because of upcoming exams,negative,medium
College is making me feel drained because I am behind on syllabus,negative,high
I feel sad and lost due to assignment deadlines,negative,high
I feel confident and lively about the campus,positive,low
Life feels great when I understand the subject well now,positive,low
My focus is suffering because I feel stressed,negative,medium
The failure is unbearable I feel broken,negative,high
Today I submitted the best assignment in class which made my day,positive,low
I feel crushed because I feel invisible to everyone and see no way out,negative,high
I am distracted and finding it hard to study,negative,medium
College was calm today just the usual routine,neutral,medium
I have been skipping college for days and feel hopeless,negative,high
Feeling wonderful after a walk on campus,positive,low
College was calm today completed tasks without issues,neutral,medium
I love the lab work it makes me feel content,positive,low
Today was happy I got selected for the college fest,positive,low
I woke up feeling energetic and my family called and it made my day,positive,low
I feel okay just an ordinary day,neutral,low
I am so empty because I feel invisible to everyone,negative,high
The pressure of mental exhaustion is making me feel lost,negative,high
I love learning new concepts it makes me feel wonderful,positive,low
Today was okay just another college day,neutral,medium
I feel overwhelmed completely because I feel completely unloved and see no way out,negative,high
I feel a bit stressed because I miss home,negative,medium
I feel tired today because I am behind on syllabus,negative,medium
I am proud of myself because helped my classmate understand the topic,positive,low
I am irritated about my group project,negative,medium
I feel demotivated due to family expectations,negative,medium
I am so excited right now I helped a friend today,positive,low
I feel tired today because of peer pressure,negative,medium
Today was motivated I studied hard and it showed,positive,low
My performance is suffering because I feel unsure,negative,medium
My project work is suffering because I feel worried,negative,medium
I have been avoiding social situations recently because of college pressure,negative,medium
I feel hopeless because I am always alone I need help,negative,high
The day was fine lectures were average,neutral,medium
I feel depressed because I keep disappointing everyone and see no way out,negative,high
I feel distracted today because I feel left behind,negative,high
College is making me feel unmotivated because I failed to meet my own expectations,negative,medium
Everything feels destroyed inside I don't know what to do,negative,high
My performance is suffering because I feel tired,negative,medium
I feel anxious today because I failed to meet my own expectations,negative,medium
The day was average no highs or lows,neutral,low
Today was bright I got good marks,positive,low
Life feels confident when I completed all my tasks,positive,low
Feeling lively and refreshed I understand the subject well now,positive,low
Feeling thrilled after a productive study session,positive,low
I cannot attend class because I feel so shattered,negative,high
I successfully submitted the best assignment in class and I am thrilled,positive,low
The day was okay no highs or lows,neutral,low
I feel a bit nervous due to family expectations,negative,medium
I am worried and finding it hard to enjoy college,negative,medium
I feel pressure from family about my grades,negative,high
Feeling wonderful and refreshed I understand the subject well now,positive,low
I feel completely desperate because I keep disappointing everyone,negative,high
Today was great I passed my difficult exam,positive,low
I feel a bit unmotivated due to family expectations,negative,high
I feel tense thinking about my backlog subjects,negative,medium
I feel helpless and numb every single day now,negative,high
I feel a bit distracted because I cannot focus,negative,medium
The day was regular nothing special to mention,neutral,low
I am overwhelmed about my group project,negative,high
I am really hopeful because I won a competition,positive,low
I am helpless and feel like nobody would miss me,negative,high
I woke up feeling happy and I helped a friend today,positive,low
I feel tired due to family expectations,negative,medium
Today was excited I studied hard and it showed,positive,low
College was normal today nothing special to mention,neutral,medium
I helped my classmate understand the topic and it made me feel motivated,positive,low
I am nervous about my backlog subjects,negative,medium
College was average today lectures were average,neutral,low
Today was confident I completed all my tasks,positive,low
I feel overwhelmed due to family expectations,negative,medium
Feeling wonderful after completing all pending work,positive,low
Feeling excited and grateful I got an internship offer,positive,low
Everything is desperate I feel like giving up on everything,negative,high
I am neither excited nor sad just feeling calm,neutral,medium
I woke up feeling content and I got good marks,positive,low
I am proud of myself because got selected for the internship,positive,low
I cannot eat because I feel so trapped,negative,high
I feel unmotivated today because I cannot focus,negative,high
I feel broken because I feel invisible to everyone and see no way out,negative,high
Today was fine went through the schedule,neutral,medium
Feeling thrilled and motivated I won a competition,positive,low
Today was ordinary just another college day,neutral,low
Everything is shattered I feel like not being here anymore,negative,high
Today I went to the library and called it a day,neutral,medium
I feel confused today because I miss home,negative,high
I cannot get out of bed because I feel so lost,negative,high
Nothing much happened today talked to my roommate,neutral,low
I feel devastated because I am always alone I need help,negative,high
I feel completely helpless because nobody understands me,negative,high
I feel tense and lost because I cannot focus,negative,medium
My parent motivated me and I feel blessed,positive,low
I feel confused and tense due to project deadlines,negative,medium
I feel numb because I see no future for myself I need help,negative,high
Everything feels broken I don't know what to do,negative,high
I feel drained and drained due to family expectations,negative,medium
My motivation is suffering because I feel sad,negative,medium
I feel devastated because I see no future for myself and see no way out,negative,high
My family member appreciated my effort and I feel proud,positive,low
I finished reading the entire syllabus and it made me feel blessed,positive,low
I feel terrified like I am falling into a deep dark pit,negative,high
I feel demotivated and tense because of poor marks in internals,negative,medium
I feel homesick and confused because I cannot focus,negative,medium
The pressure of constant disappointment is making me feel numb,negative,high
The pressure of isolation is making me feel desperate,negative,high
I feel a bit unmotivated because I failed to meet my own expectations,negative,medium
I am not enjoying learning new concepts as much lately,negative,medium
I feel distracted today because I failed to meet my own expectations,negative,medium
The lectures were regular today everything was as expected,neutral,low
Life feels thrilled when I finished my project on time,positive,low
Life feels excited when I aced my presentation,positive,low
I feel deeply anxious because nobody understands me I need help,negative,high
I am destroyed inside and feel like nobody would miss me,negative,high
College is making me feel confused because I procrastinated too much,negative,medium
Today was proud I understand the subject well now,positive,low
I feel deeply anxious and alone I cannot take this anymore,negative,high
Today was average just the usual routine,neutral,medium
I am unmotivated and finding it hard to finish work,negative,high
Everything feels amazing today I aced my presentation,positive,low
I feel overwhelmed today because I cannot focus,negative,high
Everything is lost I feel like giving up on everything,negative,high
I cannot talk to anyone because I feel so empty,negative,high
I feel irritated and demotivated because of poor marks in internals,negative,medium
College was average today things were uneventful,neutral,low
Today I finished all assignments which made my day,positive,low
I feel tired and low because of peer pressure,negative,medium
I feel unsure due to peer comparison,negative,medium
The lectures were fine today lectures were average,neutral,medium
I cannot breathe properly because I feel so numb,negative,high
Today was excited I got an internship offer,positive,low
I feel irritated today because I am behind on syllabus,negative,high
I am deeply anxious and feel like disappearing forever,negative,high
I love college life it makes me feel amazing,positive,low
I feel completely lost and overwhelmed completely in college life,negative,high
I feel numb and broken every single day now,negative,high
I feel completely desperate because I feel completely unloved,negative,high
I feel helpless and lost I cannot take this anymore,negative,high
I feel confident and excited about group discussions,positive,low
Everything feels motivated today I made new friends today,positive,low
I feel homesick today because I feel left behind,negative,high
My project work is suffering because I feel frustrated,negative,high
I am anxious about my upcoming exam,negative,high
I am so helpless I cannot even function normally properly,negative,high
I am destroyed inside all the time and it is getting worse,negative,high
The academic pressure is unbearable I feel trapped,negative,high
I feel shattered due to unbearable academic pressure and see no way out,negative,high
College was normal today just another college day,neutral,low
I gave an excellent viva and it made me feel excited,positive,low
I feel broken and have been not eating properly,negative,high
I feel irritated thinking about my upcoming exam,negative,high
I feel tense and confused because of poor marks in internals,negative,high
I feel frustrated thinking about my backlog subjects,negative,medium
I woke up feeling joyful and I had a productive study session,positive,low
I feel overwhelmed completely like I am suffocating every single day,negative,high
I feel frustrated thinking about my career after graduation,negative,high
I feel nervous and low because I am behind on syllabus,negative,high
My hard work paid off and I feel positive,positive,low
I completed my project and it made me feel refreshed,positive,low
I have been having dark and scary thoughts and feel destroyed inside,negative,high
Today was positive I completed all my tasks,positive,low
College life feels joyful today,positive,low
I feel cheerful today I understand the subject well now,positive,low
I cannot attend class because I feel so trapped,negative,high
I aced my presentation and it made me feel positive,positive,low
I feel a bit anxious because I failed to meet my own expectations,negative,high
Today was cheerful I won a competition,positive,low
I coded my first working application and it made me feel wonderful,positive,low
I woke up feeling confident and everything went well,positive,low
I feel a bit demotivated because I failed to meet my own expectations,negative,medium
I keep procrastinating and now I am tense,negative,medium
Everything feels joyful today I got selected for the college fest,positive,low
I feel irritated and low due to assignment deadlines,negative,medium
College was calm today everything was as expected,neutral,low
I am not enjoying my course as much lately,negative,medium
I feel broken and broken I cannot take this anymore,negative,high
Feeling excited and focused I understand the subject well now,positive,low
College was okay today things were uneventful,neutral,low
Feeling blessed after meditation in the morning,positive,low
Everything feels devastated I don't know what to do,negative,high
I feel decent just an ordinary day,neutral,low
I feel tense today due to assignment deadlines,negative,medium
I feel disappointed and tense due to assignment deadlines,negative,medium
I feel confident today I feel supported by everyone,positive,low
I feel disconnected and disappointed these days,negative,medium
Today was calm everything was as expected,neutral,medium
I feel demotivated thinking about my attendance shortage,negative,medium
I feel completely trapped because everything I try goes wrong,negative,high
I feel depressed because I see no future for myself I need help,negative,high
I feel sad thinking about my viva examination,negative,medium
I am destroyed inside and feel like disappearing forever,negative,high
I feel pressure from peers about my studies,negative,medium
I feel hopeless and have been hurting myself,negative,high
I spent the day revised my notes nothing exciting,neutral,low
Everything is numb I feel like I am a burden to everyone,negative,high
I feel average nothing special happened,neutral,medium
Everything feels optimistic today I understand the subject well now,positive,low
I am proud of myself because secured a scholarship,positive,low
I feel a bit sad because I am behind on syllabus,negative,medium
Life feels fantastic when everything went well,positive,low
I feel panicking because I see no future for myself I need help,negative,high
College is making me feel disappointed because I am behind on syllabus,negative,medium
College life feels proud today,positive,low
My classmate appreciated my effort and I feel blessed,positive,low
I feel demotivated due to exam pressure,negative,medium
I have been crying every night and feel isolated,negative,high
I feel a bit irritated due to project deadlines,negative,medium
Feeling thrilled after a good meal with friends,positive,low
The day was ordinary nothing special to mention,neutral,low
I woke up feeling positive and I slept well last night,positive,low
I feel completely terrified because I see no future for myself,negative,high
The lectures were ordinary today no highs or lows,neutral,low
My motivation is suffering because I feel drained,negative,medium
I feel depressed because I am always alone I need help,negative,high
I feel confident and blessed about my project,positive,low
I feel tired today because I cannot focus,negative,medium
I have been not eating properly and feel destroyed inside,negative,high
I feel frustrated thinking about my performance in internals,negative,high
Everything feels energetic today I got good marks,positive,low
I keep procrastinating and now I am unsure,negative,medium
I feel worried and distracted due to lack of sleep,negative,medium
Everything feels proud today I made new friends today,positive,low
I am neither excited nor sad just feeling normal,neutral,low
I feel a bit low due to family expectations,negative,medium
I feel worthless and desperate every single day now,negative,high
I cannot function normally because I feel so worthless,negative,high
I am sad about my performance in internals,negative,medium
Everything feels panicking I don't know what to do,negative,high
The lectures were decent today everything was as expected,neutral,medium
I feel trapped because I keep disappointing everyone I need help,negative,high
I am so grateful right now my professor appreciated my work,positive,low
I feel destroyed inside like I am breaking apart slowly,negative,high
I feel tired and distracted because I cannot focus,negative,medium
I aced my presentation and it made me feel cheerful,positive,low
I am so helpless I cannot even get out of bed properly,negative,high
I attended the lecture and it was plain,neutral,low
I attended the online class and it was plain,neutral,medium
I feel low due to family expectations,negative,high
I feel terrified because I see no future for myself and see no way out,negative,high
I woke up feeling energetic and I finished my project on time,positive,low
I feel broken and have been having panic attacks regularly,negative,high
The family pressure is unbearable I feel worthless,negative,high
I am disappointed about my semester results,negative,high
The day was ordinary everything was as expected,neutral,low
I feel nervous thinking about my viva examination,negative,medium
I am so empty I cannot even get out of bed properly,negative,high
I feel burned out like I am running but going nowhere,negative,high
Nothing much happened today watched an educational video,neutral,low
I studied for a while and the day passed normally,neutral,low
My mentor believed in me and I feel refreshed,positive,low
Feeling great and grateful I got an internship offer,positive,low
I am really hopeful because everything went well,positive,low
I am destroyed inside and feel like ceasing to exist,negative,high
Everything feels proud today I finished my project on time,positive,low
Everything is helpless I feel like not being here anymore,negative,high
I feel worthless and hopeless every single day now,negative,high
I have been feeling nervous for the past few days,negative,medium
I have been feeling irritable recently because of college pressure,negative,medium
My hard work paid off and I feel lively,positive,low
I am burned out and feel like not being here anymore,negative,high
I feel confident and lively about learning new concepts,positive,low
Today was fine just the usual routine,neutral,medium
I am overwhelmed completely and feel like ceasing to exist,negative,high
I feel worthless and numb every single day now,negative,high
I went to the classroom and revised my notes,neutral,medium
I woke up feeling fantastic and I understand the subject well now,positive,low
Everything feels positive today I made new friends today,positive,low
My roommate motivated me and I feel positive,positive,low
I feel hopeless and worthless every single day now,negative,high
College is making me feel worried because of poor marks in internals,negative,medium
I feel completely burned out because I keep disappointing everyone,negative,high
I feel homesick today because of peer pressure,negative,high
I feel crushed like I am running but going nowhere,negative,high
I feel confident and excited about the campus,positive,low
I had a great day I made new friends today,positive,low
I feel homesick thinking about my CGPA dropping,negative,high
I feel confident and wonderful about studying this subject,positive,low
Today was ordinary things were uneventful,neutral,medium
I feel empty and hopeless every single day now,negative,high
I feel pressure from myself about my project work,negative,medium
I am really overjoyed because I passed my difficult exam,positive,low
I am so excited right now I got selected for the college fest,positive,low
I have been feeling frustrated for the past few days,negative,medium
I am drained and finding it hard to enjoy college,negative,high
I feel completely deeply anxious because nobody understands me,negative,high
I feel devastated and lost I cannot take this anymore,negative,high
My studies is suffering because I feel disappointed,negative,medium
I am so broken because everything I try goes wrong,negative,high
I feel stressed today because I feel left behind,negative,high
Everything feels confident today everything went well,positive,low
College is making me feel distracted due to project deadlines,negative,high
My professor believed in me and I feel blessed,positive,low
I went to the hostel and had lunch with classmates,neutral,low
I am stressed and finding it hard to finish work,negative,medium
I feel a bit unsure because I cannot focus,negative,medium
Feeling motivated after sleeping early and waking up fresh,positive,low
The financial stress at home is unbearable I feel deeply anxious,negative,high
I feel okay nothing special happened,neutral,medium
I am numb and feel like giving up on everything,negative,high
College life feels content today,positive,low
I feel disconnected and unsure these days,negative,medium
I feel lost because I am always alone I need help,negative,high
I feel drained today due to family expectations,negative,medium
I feel demotivated today due to assignment deadlines,negative,medium
I keep procrastinating and now I am confused,negative,high
I am feeling decent today just going through routine,neutral,low
College was fine today went through the schedule,neutral,medium
I feel trapped and empty every single day now,negative,high
I am so destroyed inside because I see no future for myself,negative,high
I feel homesick today due to family expectations,negative,medium
Feeling joyful after a good meal with friends,positive,low
I feel empty because everything I try goes wrong I need help,negative,high
I feel great today my friends supported me,positive,low
My family member praised my work and I feel proud,positive,low
Today was blessed I achieved my weekly goal,positive,low
Feeling blessed and energetic I helped a friend today,positive,low
The day was calm went through the schedule,neutral,medium
Today was decent no highs or lows,neutral,low
Feeling fantastic after a productive study session,positive,low
College is making me feel nervous because I failed to meet my own expectations,negative,medium
College is making me feel irritated because of poor marks in internals,negative,medium
I feel worried today due to assignment deadlines,negative,medium
The exam stress is unbearable I feel depressed,negative,high
I am so empty I cannot even think clearly properly,negative,high
I feel shattered and alone I cannot take this anymore,negative,high
I feel balanced and regular today,neutral,medium
I cannot eat because I feel so panicking,negative,high
I feel frustrated thinking about my CGPA dropping,negative,medium
The lectures were calm today everything was as expected,neutral,low
I feel empty and worthless nothing is going right,negative,high
Today was normal no highs or lows,neutral,low
The mental exhaustion is unbearable I feel hopeless,negative,high
I keep procrastinating and now I am stressed,negative,medium
The day was ordinary completed tasks without issues,neutral,low
I completed my project and it made me feel energetic,positive,low
I feel disconnected and nervous these days,negative,medium
I went to the lab and read a chapter,neutral,low
College was okay today went through the schedule,neutral,low
I am so grateful right now I got good marks,positive,low
I feel exhausted thinking about my semester results,negative,medium
I am really overjoyed because I slept well last night,positive,low
Today was fine everything was as expected,neutral,medium
I am so helpless I cannot even breathe properly properly,negative,high
Everything feels energetic today I completed all my tasks,positive,low
Today was plain no highs or lows,neutral,low
I feel a bit irritated because I cannot focus,negative,high
I feel a bit worried because I procrastinated too much,negative,high
The pressure of exam stress is making me feel broken,negative,high
I love the campus it makes me feel amazing,positive,low
The pressure of isolation is making me feel deeply anxious,negative,high
I feel anxious and tense because of upcoming exams,negative,medium
I feel frustrated today because I failed to meet my own expectations,negative,medium
I went to the classroom and talked to my roommate,neutral,medium
I am burned out and feel like ending it all,negative,high
My grades is suffering because I feel distracted,negative,medium
I feel completely lost and depressed in college life,negative,high
The lectures were regular today completed tasks without issues,neutral,low
I feel tired and drained because I failed to meet my own expectations,negative,medium
I feel trapped because of constant failure and see no way out,negative,high
I feel confused due to attendance shortage,negative,medium
I completed my project and it made me feel optimistic,positive,low
I am so crushed because everything I try goes wrong,negative,high
The failure is unbearable I feel worthless,negative,high
Feeling bright and positive I helped a friend today,positive,low
I am so isolated I cannot even function normally properly,negative,high
Feeling wonderful and motivated I passed my difficult exam,positive,low
I feel shattered because of constant failure I need help,negative,high
I feel disappointed due to family expectations,negative,medium
I feel drained today because I procrastinated too much,negative,medium
I am really motivated because I passed my difficult exam,positive,low
I am depressed and feel like I cannot go on like this,negative,high
The bullying in college is unbearable I feel panicking,negative,high
Everything is deeply anxious I feel like nobody would miss me,negative,high
Feeling content after a walk on campus,positive,low
I cannot think clearly because I feel so shattered,negative,high
College was average today just another college day,neutral,low
My classmate motivated me and I feel proud,positive,low
I am disappointed and finding it hard to sleep properly,negative,medium
I feel helpless and worthless nothing is going right,negative,high
Feeling motivated and grateful I got an internship offer,positive,low
Feeling content and hopeful everything went well,positive,low
I feel nervous thinking about my group project,negative,medium
I am frustrated and finding it hard to study,negative,medium
I am nervous and finding it hard to sleep properly,negative,high
I feel completely destroyed inside because I feel invisible to everyone,negative,high
I feel shattered like I am drowning with no one to save me,negative,high
Everything is helpless I feel like I cannot go on like this,negative,high
I feel a bit tired due to assignment deadlines,negative,high
Nothing much happened today browsed study material,neutral,low
I feel distracted and tired because I feel left behind,negative,medium
I feel deeply anxious because I feel invisible to everyone I need help,negative,high
I am really grateful because I aced my presentation,positive,low
I feel content today I completed all my tasks,positive,low
The constant disappointment is unbearable I feel trapped,negative,high
I feel anxious thinking about my group project,negative,high
Everything feels numb I don't know what to do,negative,high
Everything feels trapped I don't know what to do,negative,high
I love group discussions it makes me feel motivated,positive,low
Today was decent nothing special to mention,neutral,medium
College was normal today went through the schedule,neutral,medium
I feel confident and optimistic about the lab work,positive,low
Today was lively I studied hard and it showed,positive,low
Life feels positive when I achieved my weekly goal,positive,low
I feel confident and joyful about my course,positive,low
I feel completely panicking because nobody understands me,negative,high
I am really happy because I completed all my tasks,positive,low
I woke up feeling cheerful and I completed all my tasks,positive,low
I feel devastated due to unbearable academic pressure and see no way out,negative,high
Feeling positive and energetic my friends supported me,positive,low
I have been feeling worried for the past few days,negative,medium
I have been hurting myself and feel hopeless,negative,high
I feel worried and drained because I feel left behind,negative,medium
I helped my classmate understand the topic and it made me feel happy,positive,low
I woke up feeling confident and I feel supported by everyone,positive,low
I feel devastated and have been having dark and scary thoughts,negative,high
I feel blessed today I made new friends today,positive,low
I feel drained and confused because I am behind on syllabus,negative,medium
I feel panicking like I am carrying the weight of the world alone,negative,high
Feeling proud and positive I achieved my weekly goal,positive,low
I feel hopeless like I am falling into a deep dark pit,negative,high
I am really thrilled because I studied hard and it showed,positive,low
I feel disappointed thinking about my CGPA dropping,negative,medium
I am so depressed because I feel completely unloved,negative,high
I feel depressed because of constant failure I need help,negative,high
College was okay today just the usual routine,neutral,medium
I feel completely broken because I see no future for myself,negative,high
I attended the tutorial and it was average,neutral,medium
My parent praised my work and I feel fantastic,positive,low
I feel exhausted thinking about my CGPA dropping,negative,high
I feel irritated today because I procrastinated too much,negative,high
The pressure of mental exhaustion is making me feel helpless,negative,high
College is making me feel sad due to project deadlines,negative,high
The lectures were okay today nothing special to mention,neutral,low
My performance is suffering because I feel drained,negative,medium
The day was normal nothing special to mention,neutral,low
The lectures were average today just the usual routine,neutral,medium
Everything feels crushed I don't know what to do,negative,high
I am demotivated about my performance in internals,negative,high
I feel a bit low due to assignment deadlines,negative,medium
The lectures were ordinary today just another college day,neutral,low
Feeling positive and grateful I made new friends today,positive,low
I attended the online class and it was fine,neutral,low
I feel deeply anxious and empty I cannot take this anymore,negative,high
I am frustrated but I know it will pass eventually,negative,medium
I feel a bit overwhelmed because I feel left behind,negative,medium
I feel a bit tense because of peer pressure,negative,medium
I attended the viva preparation session and it was alright,neutral,low
I am so deeply anxious I cannot even talk to anyone properly,negative,high
Today was normal nothing special to mention,neutral,medium
Today I completed my project which made my day,positive,low
I feel low due to peer comparison,negative,high
I feel completely destroyed inside because nobody understands me,negative,high
I went to the lab and completed the tutorial,neutral,low
I went to the library and studied for a while,neutral,medium
The day was ordinary no highs or lows,neutral,low
The lectures were normal today no highs or lows,neutral,low
I secured a scholarship and it made me feel wonderful,positive,low
I am exhausted and finding it hard to finish work,negative,medium
I feel a bit nervous because I cannot focus,negative,medium
I feel numb and worthless nothing is going right,negative,high
Today I cracked a mock interview which made my day,positive,low
I am numb and feel like not being here anymore,negative,high
I cannot sleep because I feel so hopeless,negative,high
I am confused and finding it hard to enjoy college,negative,high
The lectures were fine today no highs or lows,neutral,low
I feel exhausted thinking about my viva examination,negative,medium
Today I secured a scholarship which made my day,positive,low
I feel confident and confident about my course,positive,low
I feel deeply anxious and desperate every single day now,negative,high
I feel low due to lack of sleep,negative,high
I cannot sleep because I feel so empty,negative,high
The lectures were average today nothing special to mention,neutral,medium
I am really grateful because I won a competition,positive,low
I feel overwhelmed completely and have been crying every night,negative,high
Today was calm just the usual routine,neutral,low
I feel confident and confident about attending seminars,positive,low
I am so happy right now everything went well,positive,low
Life feels optimistic when my family called and it made my day,positive,low
I went to the library and attended the lab session,neutral,low
I feel a bit distracted because of peer pressure,negative,high
Everything is devastated I feel like disappearing forever,negative,high
I am really grateful because I finished my project on time,positive,low
Feeling blessed and energetic I made new friends today,positive,low
Feeling confident after completing all pending work,positive,low
My studies is suffering because I feel irritated,negative,medium
I feel frustrated today because I am behind on syllabus,negative,medium
I am desperate and feel like not being here anymore,negative,high
I feel overwhelmed completely and empty I cannot take this anymore,negative,high
I am so numb I cannot even think clearly properly,negative,high
The failure is unbearable I feel destroyed inside,negative,high
I spent the day went to the library nothing exciting,neutral,low
I love attending seminars it makes me feel thrilled,positive,low
I am not enjoying the campus as much lately,negative,medium
I am so hopeful right now I helped a friend today,positive,low
I am irritated about my semester results,negative,medium
I am low and finding it hard to finish work,negative,high
I feel hopeless because I feel invisible to everyone I need help,negative,high
I won a prize in college fest and it made me feel fantastic,positive,low
My family member helped me understand the concept and I feel lively,positive,low
The day was ordinary things were uneventful,neutral,low
The day was okay nothing special to mention,neutral,low
I feel overwhelmed thinking about my performance in internals,negative,medium
The exam stress is unbearable I feel numb,negative,high
College life feels thrilled today,positive,low
I cannot attend class because I feel so worthless,negative,high
